N°;Prefijo Departamento;Departamento;Provincia;Localidad;Proyecto;Nombre de ODN/ODN Name;Nombre_de_OLT/OLT_Name;OUTDOOR/INDOOR;MODELO DE OLT;NAP (Qty);Usuarios Proyectados;Urb/Rur;OLT Location;RPM;Nombre de OLT (en  el prompt de OLT);Latitud OLT (Grados decimales (DD)) Ej: 41.40338;Longitud OLT (Grados decimales (DD)) Ej: 2.17403.;Status;OLT Upgrade;Fecha ATP ODN/ATP ODN Date;Fecha de Comisionamiento OLT/OLT Commissioning Date;Fecha ATP Instalación Gabinete/ATP Installation Cabinet Date;Fecha ATP OLT de Servicios/Services ATP OLT Date;Fecha ATP OTDR/ATP OTDR Date;Fecha ATP Energía/Date ATP Energy;Sitio de interconexión a OSN (capa 2);Equipo de agregación (Carrier Entel) - A;PUERTO AGREGADOR - A;Equipo de agregación (Carrier Entel) - B;PUERTO AGREGADOR - B;Equipo de agregación (Carrier Entel) - Name Location (Nombre de localidad/sitio);Latitud Agregador (Grados decimales (DD)) Ej: 41.40338;Longitud Agregador (Grados decimales (DD)) Ej: 2.17403.;FECHA DE HABILITACION - NUEVO NETNUMEN;"SEGMENTO
IP OLT GESTIÓN";GATEWAY GESTIÓN;IP OLT GESTIÓN;VLAN TR069;SEGMENTO IP POOL EASY GATEWAY TR069;VLAN DE GESTIÓN;VLANs OUTER PPPoE;VLANs OUTER PPPoE(SECOND);VLANs OUTER VPN & IPoE ;VLAN OUTER TELEFONIA;IP SEGMENTO DE RED TELEFONIA/VOICE SEGMENT;VLAN OUTER IPTV;IP SEGMENTO DE RED IPTV/IPTV SEGMENT;SEGMENTO IP OTDR;GATEWAY IP OTDR;IP OTDR;VLAN OTDR;SEGMENTO IP Modulo de Energia (ETMC);GATEWAY IP Modulo de Energia (ETMC);IP Modulo de Energia (ETMC);VLAN MODULO DE ENERGÍA (ETMC)
244;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;4_CAÑADAS;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_4_CAÑADAS_SCZ;;;;;;;;;;;;;;;;;;;;10.194.9.96/27;10.194.9.97;10.194.9.100;4008;;939;1955;1901;1954;3938;10.246.76.0/23;2100;10.52.76.0/22;NA;NA;NA;NA;NA;NA;NA;NA
245;TJA;TARIJA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;VILLAMONTES;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_VILLAMONTES_TJA;;;;;;;;;;;;;;;;;;;;10.194.8.96/27 ;10.194.8.97;10.194.8.100;4008;;939;4017 - 4019;4010;4018;2213;10.248.8.0/23;2100;10.51.0.0/20;NA;NA;NA;NA;NA;NA;NA;NA
246;TJA;TARIJA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;YACUIBA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_YACUIBA_TJA;;;;;;;;;;;;;;;;;;;17/3/2023;10.57.92.240/28;10.57.92.244;10.57.92.243;4008;;939;4019 - 4025 - 4018;4029;4020;2214;10.248.10.0/23;2105;10.51.16.0/20;NA;NA;NA;NA;NA;NA;NA;NA
247;TJA;TARIJA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;BERMEJO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_BERMEJO_TJA;;;;;;;;;;;;;;;;;;;;10.194.8.128/27;10.194.8.129;10.194.8.132;4008;;939;4021 - 4020;4010;4022;2215;10.248.12.0/23;2100;10.51.192.0/21;NA;NA;NA;NA;NA;NA;NA;NA
248;TJA;TARIJA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;ENTRE_RIOS;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ENTRE_RIOS_TJA;;;;;;;;;;;;;;;;;;;;10.201.133.160/27;10.201.133.161;10.201.133.181;4008;;939;4023;4010;4024;2216;10.248.14.0/23;2104;10.52.44.0/22;NA;NA;NA;NA;NA;NA;NA;NA
249;ORU;ORURO;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;HUANUNI;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_HUANUNI_ORU;;;;;;;;;;;;;;;;;;;;10.52.142.32/28 ;10.52.142.33;10.52.142.36;4008;;939;4017;3913;4018;4034;10.248.136.0/23;4044;10.52.16.0/22;NA;NA;NA;NA;NA;NA;NA;NA
250;ORU;ORURO;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;CHALLAPATA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CHALLAPATA_ORU;;;;;;;;;;;;;;;;;;;;10.194.10.176/28;10.194.10.177;10.194.10.180;4008;;939;4019;3915;4020;4035;10.248.138.0/23;4045;10.52.20.0/22;NA;NA;NA;NA;NA;NA;NA;NA
251;CHU;CHUQUISACA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;CAMARGO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CAMARGO_CHU;;;;;;;;;;;;;;;;;;;17/3/2023;10.194.8.32/27;10.194.8.33;10.194.8.36;4008;;939;4026;4010;4027;4028;10.248.72.0/23;2100;10.51.176.0/21;NA;NA;NA;NA;NA;NA;NA;NA
252;CHU;CHUQUISACA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;PADILLA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_PADILLA_CHU;;;;;;;;;;;;;;;;;;;;10.194.8.64/27;10.194.8.65;10.194.8.68;4008;;939;4020;4048;4021;4022;10.248.74.0/23;4037;10.52.36.0/22;NA;NA;NA;NA;NA;NA;NA;NA
253;CHU;CHUQUISACA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;MONTEAGUDO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_MONTEAGUDO_CHU;;;;;;;;;;;;;;;;;;;;10.201.133.96/27;10.201.133.97;10.201.133.110;4008;;939;4023;4049;4024;4025;10.248.76.0/23;4038;10.51.184.0/21;NA;NA;NA;NA;NA;NA;NA;NA
254;CHU;CHUQUISACA;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;TARABUCO;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_TARABUCO_CHU;;;;;;;;;;;;;;;;;;;;10.201.133.96/27;10.201.133.97;10.201.133.111;4008;;939;4017;4047;4018;4019;10.248.78.0/23;4036;10.52.40.0/22;NA;NA;NA;NA;NA;NA;NA;NA
255;PTS;POTOSI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;UYUNI;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_UYUNI_PTS;;;;;;;;;;;;;;;;;;;;10.201.133.32/27 ;10.201.133.34;10.201.133.37;4008;;939;4017;4016;4018;4039;10.248.198.0/23;2276;10.52.24.0/22;NA;NA;NA;NA;NA;NA;NA;NA
256;PTS;POTOSI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;TUPIZA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_TUPIZA_PTS;;;;;;;;;;;;;;;;;;;;10.194.8.0/27;10.194.8.1;10.194.8.4;4008;;939;4019;4023;4020;4040;10.248.200.0/23;2100;10.51.160.0/21;NA;NA;NA;NA;NA;NA;NA;NA
257;PTS;POTOSI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;VILLAZON;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_VILLAZON_PTS;;;;;;;;;;;;;;;;;;;;10.194.8.0/27;10.194.8.1;10.194.8.5;4008;;939;4021;4024;4022;4041;10.248.202.0/23;2101;10.51.168.0/21;NA;NA;NA;NA;NA;NA;NA;NA
258;ORU;ORURO;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;LLALLAGUA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_LLALLAGUA_ORU;;;;;;;;;;;;;;;;;;;;10.52.142.32/28 ;10,249,103,193;10,249,103,203;4008;;939;4021;3917;4022;4036;10.248.140.0/23;4046;10.52.28.0/22;NA;NA;NA;NA;NA;NA;NA;NA
259;ORU;ORURO;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;UNCIA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_UNCIA_ORU;;;;;;;;;;;;;;;;;;;;10.52.142.32/28 ;10,249,103,193;10,249,103,204;4008;;939;4023;3919;4024;4037;10.248.142.0/23;4047;10.52.32.0/22;NA;NA;NA;NA;NA;NA;NA;NA
260;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;RIBERALTA_-_DOMSAT;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_RIBERALTA_-_DOMSAT_BNI;;;;;;;;;;;;;;;;;;;;10.57.92.192/28;10.57.92.194;10.57.92.196;4008;;939;4017-4022;4023;4018;4016;10.255.4.0/23;2602;10.51.128.0/20;NA;NA;NA;NA;NA;NA;NA;NA
261;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;GUAYARAMERÍN_-_DOMSAT;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_GUAYARAMERÍN_-_DOMSAT_BNI;;;;;;;;;;;;;;;;;;;;10.130.71.0/28;10.130.71.1;10.130.71.4;4008;;939;4020;4024;4021;4019;10.255.6.0/23;2603;10.51.144.0/20;NA;NA;NA;NA;NA;NA;NA;NA
262;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;RURRENABAQUE;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_RURRENABAQUE_BNI;;;;;;;;;;;;;;;;;;;;10.243.4.128/25;10.243.4.129;10.243.4.134;4008;;939;4023;4019;4024;4022;10.255.8.0/23;2604;10.52.96.0/22;NA;NA;NA;NA;NA;NA;NA;NA
263;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;SAN_BORJA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SAN_BORJA_BNI;;;;;;;;;;;;;;;;;;;;10.194.10.0/27;10.194.10.1;10.194.10.4;4008;;939;4026;4028;4027;4025;10.255.10.0/23;2605;10.52.8.0/21;NA;NA;NA;NA;NA;NA;NA;NA
264;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;SAN_IGNACIO_DE_MOXOS;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SAN_IGNACIO_DE_MOXOS_BNI;;;;;;;;;;;;;;;;;;;;10.243.4.128/25;10.243.4.129;10.243.4.136;4008;;939;4029;4018;4030;4028;10.255.12.0/23;2606;10.52.100.0/22;NA;NA;NA;NA;NA;NA;NA;NA
265;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;REYES;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_REYES_BNI;;;;;;;;;;;;;;;;;;;;10.243.4.128/25;10.243.4.129;10.243.4.137;4008;;939;4032;4020;4033;4031;10.255.14.0/23;2607;10.52.104.0/22;NA;NA;NA;NA;NA;NA;NA;NA
266;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;SANTA_ROSA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SANTA_ROSA_BNI;;;;;;;;;;;;;;;;;;;;10.243.4.128/25;10.243.4.129;10.243.4.138;4008;;939;4035;4021;4036;4034;10.255.16.0/23;2608;10.52.108.0/22;NA;NA;NA;NA;NA;NA;NA;NA
267;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;S.ANA_DEL_YACUMA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_S.ANA_DEL_YACUMA_BNI;;;;;;;;;;;;;;;;;;;;10.243.4.128/25;10.243.4.129;10.243.4.139;4008;;939;4038;4017;4039;4037;10.255.18.0/23;2609;10.52.112.0/22;NA;NA;NA;NA;NA;NA;NA;NA
268;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;SAN_RAMON;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SAN_RAMON_BNI;;;;;;;;;;;;;;;;;;;;10.194.10.32/27;10.194.10.33;10.194.10.36;4008;;939;4041;4037;4042;4040;10.255.20.0/23;2610;10.52.116.0/22;NA;NA;NA;NA;NA;NA;NA;NA
269;BNI;BENI;;;“PROVISIÓN DE EQUIPOS PARA AMPLIACIÓN FTTX – CAPITALES DE MUNICIPIO RURAL” PROYECTO RN-2015-AFM - GPON FASE 3;;MAGDALENA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_MAGDALENA_BNI;;;;;;;;;;;;;;;;;;;;10.194.10.32/27 ; 10.194.10.33;10.194.10.37;4008;;939;4044;4038;4045;4043;10.255.22.0/23;2611;10.52.120.0/22;NA;NA;NA;NA;NA;NA;NA;NA
